asin,title,product_link,price,image_url,rating,review_count,color_options,delivery_date,more_buying_choices_price,bought_in_past_month,used_and_new_offers
B0CXKYTQS2,"Microsoft Surface Laptop (2024), Windows 11 Copilot+ PC, 13.8"" Touchscreen Display, Snapdragon X Plus (10 core), 16GB RAM, 256GB SSD Storage, Platinum",https://www.amazon.com/Microsoft-Surface-Touchscreen-Snapdragon-Platinum/dp/B0CXKYTQS2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-1,$819.99,https://m.media-amazon.com/images/I/61XtQfb-sRL._AC_UL320_.jpg,4.3 out of 5 stars,564,"['Platinum', 'Black', 'Dune', 'Sapphire']",Jul 2 - 7,$748.88,300+ bought in past month,(7+ used & new offers)
B0CXKTL1SK,"Microsoft Surface Pro 2-in-1 Laptop/Tablet (2024), Windows 11 Copilot+ PC, 13"" Touchscreen Display, Snapdragon X Plus (10 Core), 16GB RAM, 512GB Storage, Platinum",https://www.amazon.com/Microsoft-Surface-Touchscreen-Snapdragon-Platinum/dp/B0CXKTL1SK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-2,$894.99,https://m.media-amazon.com/images/I/61OtnPzSv6L._AC_UL320_.jpg,4.4 out of 5 stars,402,"['Platinum', 'Black', 'Dune', 'Sapphire']","Thu, Jul 3",$787.59,300+ bought in past month,(8+ used & new offers)
B07YNHXX8D,"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 128GB SSD – Platinum",https://www.amazon.com/New-Microsoft-Surface-Pro-Touch-Screen/dp/B07YNHXX8D/ref=sr_1_3?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-3,$540.99,https://m.media-amazon.com/images/I/61qS1eDVy9S._AC_UL320_.jpg,4.3 out of 5 stars,1795,,Jul 2 - 7,$299.00,100+ bought in past month,(5+ used & new offers)
B07D3ZNX42,"Microsoft Surface Pro 5 Tablet,12.3 inch (2736 x 1824), Intel Core i5-7300U 2.6 GHz, 8 GB RAM 256GB SSD, CAM, Win 10 Pro (Renewed)",https://www.amazon.com/Microsoft-Surface-Intel-i5-7300U-2-6GHz/dp/B07D3ZNX42/ref=sr_1_4?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-4,$204.99,https://m.media-amazon.com/images/I/612OuMs29eL._AC_UL320_.jpg,3.8 out of 5 stars,353,,"Thu, Jul 3",$189.99,200+ bought in past month,(16+ used & new offers)
B09VLJS222,"Surface Laptop 4 for Business - 13.5"", Matte Black (Metal), Intel Core i7, 16GB RAM, 256GB SSD, Fren",https://www.amazon.com/Microsoft-Surface-Laptop-13-5-Touch-Screen/dp/B09VLJS222/ref=sr_1_5?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-5,$360.00,https://m.media-amazon.com/images/I/611Agc52EHL._AC_UL320_.jpg,3.5 out of 5 stars,43,,"Tue, Jul 1",,200+ bought in past month,
B081ZJ1WW9,Microsoft Surface Laptop 3 13.5in Touchscreen Intel i7 16GB RAM 256GB Windows 10 (Renewed),https://www.amazon.com/Microsoft-Surface-Laptop-Touch-Screen-Renewed/dp/B081ZJ1WW9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-6,$318.00,https://m.media-amazon.com/images/I/61mEpQu5+oL._AC_UL320_.jpg,3.8 out of 5 stars,152,"['Black', 'Platinum']","Thu, Jul 3",$262.00,100+ bought in past month,(14 used & new offers)
B08F2Y2PFQ,"Microsoft Surface Pro 7 256GB i5 8GB RAM with Windows 10 Pro (Wi-Fi, Quad-Core i5-1035G4,) Platinum PVR-00001 (Renewed)",https://www.amazon.com/Microsoft-Quad-Core-i5-1035G4-Platinum-PVR-00001/dp/B08F2Y2PFQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-7,$319.00,https://m.media-amazon.com/images/I/51WRUqvCYkL._AC_UL320_.jpg,3.9 out of 5 stars,30,,"Wed, Jul 2",$274.99,100+ bought in past month,(10+ used & new offers)
B0D9C7HPNM,"Microsoft Surface Laptop 5 13.5"" Touchscreen Notebook - 2256 x 1504 - Intel Core i7 12th Gen i7-1265U - Intel Evo Platform - 16 GB Total RAM - 256 GB SSD - Matte Black (Renewed)",https://www.amazon.com/Microsoft-Surface-Laptop-Touchscreen-Notebook/dp/B0D9C7HPNM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-8,$535.00,https://m.media-amazon.com/images/I/51VPpeuDcfL._AC_UL320_.jpg,3.5 out of 5 stars,9,,"Tue, Jul 1",$525.00,50+ bought in past month,(8 new offers)
B08C7FRPXF,"Microsoft Surface Go 2-10.5"" Touch-Screen - Intel Pentium - 8GB Memory - 128GB SSD - WiFi - Platinum (Latest Model) (Renewed)",https://www.amazon.com/NEW-Microsoft-Surface-Go-Touch-Screen/dp/B08C7FRPXF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-9,$198.49,https://m.media-amazon.com/images/I/71RQMHbQTHL._AC_UL320_.jpg,4.2 out of 5 stars,405,,"Thu, Jul 3",$165.00,100+ bought in past month,(7+ used & new offers)
B0C416PGX2,"Microsoft Surface Pro 7+ Tablet 12.3 Inch PixelSense Touchscreen Display, Intel Core i5-1135G7 CPU, 8GB RAM, 128GB SSD, Wi-Fi + Bluetooth, Windows 10 Home, Platinum 1XK-00001 (Renewed)",https://www.amazon.com/Microsoft-PixelSense-Touchscreen-i5-1135G7-Bluetooth/dp/B0C416PGX2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-10,$324.99,https://m.media-amazon.com/images/I/616+tAaDb+L._AC_UL320_.jpg,3.5 out of 5 stars,20,,"Wed, Jul 2",$275.00,100+ bought in past month,(8+ used & new offers)
B07FRNPVQN,"Microsoft Surface Go (Intel Pentium Gold, 8GB RAM, 128GB) (Renewed)",https://www.amazon.com/Microsoft-Surface-Pentium-Certified-Refurbished/dp/B07FRNPVQN/ref=sr_1_11?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-11,$169.00,https://m.media-amazon.com/images/I/61vAmTmH3FL._AC_UL320_.jpg,3.9 out of 5 stars,354,,"Wed, Jul 2",$109.99,100+ bought in past month,(8 used & new offers)
B0C8BHTXTW,"Microsoft Surface Laptop 4 - i7-1185G7 16GB RAM, 512GB SSD, 13.5"" High-Performance Touchscreen Windows 11, Lightweight with Sleek Design Platinum 5EI-00019 (Renewed)",https://www.amazon.com/Microsoft-Surface-Laptop-High-Performance-Touchscreen/dp/B0C8BHTXTW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-12,$432.79,https://m.media-amazon.com/images/I/71t7Es8s94L._AC_UL320_.jpg,4.1 out of 5 stars,181,,"Tue, Jul 1",$430.63,50+ bought in past month,(12 new offers)
B0DV6KNHM7,"Microsoft Surface Laptop Go 12.4"" Laptop, 16GB RAM, 256GB SSD, Platinum (Renewed) | Touchscreen, Intel Core i5-1035G1",https://www.amazon.com/Microsoft-Surface-Platinum-Touchscreen-i5-1035G1/dp/B0DV6KNHM7/ref=sr_1_13?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-13,$309.99,https://m.media-amazon.com/images/I/51x6PbZ3CPL._AC_UL320_.jpg,5.0 out of 5 stars,5,,"Wed, Jul 2",$256.49,50+ bought in past month,(5 used & new offers)
B081ZH7L9X,Microsoft Surface Pro 7 12.3in Intel Core i5 10th Gen 8GB RAM 128GB SSD Platinum (Renewed),https://www.amazon.com/NEW-Microsoft-Surface-Pro-Touch-Screen/dp/B081ZH7L9X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-14,$319.00,https://m.media-amazon.com/images/I/61pBCA+ORWL._AC_UL320_.jpg,4.0 out of 5 stars,244,,"Wed, Jul 2",$239.95,50+ bought in past month,(7+ used & new offers)
B07ZQ1GFQ8,"Microsoft Surface Pro 6 (Intel Core i5, 8GB RAM, 128GB) - Black - NKR-00001, Platinum",https://www.amazon.com/Microsoft-Surface-Intel-Core-128GB/dp/B07ZQ1GFQ8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-15,$299.90,https://m.media-amazon.com/images/I/616hdAATeCL._AC_UL320_.jpg,3.9 out of 5 stars,124,,"Thu, Jul 3",$287.10,50+ bought in past month,(3 used & new offers)
B07NRQWCLK,"Microsoft Surface Pro 6 (Intel Core i5, 8GB RAM, 128GB SSD) Platinum (Renewed)",https://www.amazon.com/Microsoft-Surface-Intel-Core-128GB/dp/B07NRQWCLK/ref=sr_1_16?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-16,$278.00,https://m.media-amazon.com/images/I/516nNGkjX-L._AC_UL320_.jpg,4.0 out of 5 stars,579,,"Thu, Jul 3",$235.00,,(11+ used & new offers)
B0BK2F146W,"Microsoft Surface Pro 9 13"" Touch Tablet, Intel i7, 16GB/512GB, Platinum Bundle Surface Pro Signature Mechanical Keyboard, Black and 1 YR CPS Enhanced Protection Pack",https://www.amazon.com/Microsoft-QIX-00001-Signature-Mechanical-Protection/dp/B0BK2F146W/ref=sr_1_17?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-17,"$1,459.00",https://m.media-amazon.com/images/I/518TNZl06xL._AC_UL320_.jpg,4.5 out of 5 stars,112,,"Wed, Jul 2",,,
B0DM3N2HG6,"Microsoft Surface Pro 11 Bundle, 2-in-1 Tablet with Pro Keyboard and Surface Pen, Copilot+ PC, 13"" Touchscreen OLED, Snapdragon X Elite, 16GB RAM, 1TB SSD, Windows 11 Pro, Platinum",https://www.amazon.com/Microsoft-Surface-Pro-11-Touchscreen/dp/B0DM3N2HG6/ref=sr_1_18?dib=eyJ2IjoiMSJ9.s2v7o9lOGYpLpuAlN65DP8RgHpT7NVyNaNrVInwUCStxjAXQ672lzAqI1-RPAt_wQSnU31Kz_7eEcn1MTywsv40L2g9zFdMXg9PVvkF1HHCaLusCZkF_IHm0XqIAcF03aQHzP4qZ7s433wqf6do3Lo-dRrDJZN07grEcyNf3yGc1PxrroOx3sNHKxMFd9udBNIOglT5rVJg2C4AiuxIczx3VFGXiD36ph2mXYnLPvD_2QPuRDTO8B8XOmJMgVoLpLkv-Wye5S16b5lsyy4jjLDgfKiHB9mDVmxXbalRPJDU.xNYfylA-CG23armgUaVHTGRvcg22rpa_sPLppqrhOpM&dib_tag=se&qid=1751098074&refinements=p_123%3A42439&rnid=85457740011&s=computers-intl-ship&sr=1-18,"$1,599.99",https://m.media-amazon.com/images/I/512kGLOjALL._AC_UL320_.jpg,4.3 out of 5 stars,32,,"Tue, Jul 1",,,
